user_id,username,followers,posts,followers_count,followed_influencers_count
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
22,konbini,"['user1', 'user3', 'user6', 'user15', 'user20', 'user21']",10,5,
